SL,PTH,TTR,AWL,ASC,DWR,POS,VWR,GFI,FKG,FRE,PRP,COH
41,14,0.78,4.2,1.24,0.2,0.17,0.24,26.4,15.03,60.32,149.71418912867694,0.7
34,10,0.82,4.35,1.24,0.18,0.29,0.26,22.8,12.3,67.42,423.08052176348525,0.78
37,7,0.7,4.24,1.22,0.14,0.22,0.19,22.4,13.24,66.07,135.4718198466833,0.68
14,4,0.93,4.64,1.21,0.21,0.5,0.0,16.0,4.15,90.26,1049.8503798017307,0.66
18,9,0.94,4.89,1.78,0.39,0.44,0.33,24.8,12.43,37.98,605.5520047951866,0.63
14,7,1.0,5.57,1.71,0.29,0.57,0.43,19.2,10.05,47.96,2044.3314575313623,0.64
44,10,0.75,4.68,1.39,0.18,0.25,0.3,26.8,17.97,44.58,428.7377534394512,0.64
18,5,0.94,4.94,1.44,0.22,0.44,0.5,18.0,8.42,66.74,2415.942596490651,0.63
45,18,0.84,4.69,1.36,0.29,0.18,0.33,31.6,18.01,46.1,236.09941554408232,0.61
23,7,0.87,5.13,1.78,0.39,0.39,0.22,26.8,14.38,32.9,124.98300523995967,0.63
24,9,0.79,4.92,1.58,0.29,0.33,0.29,23.2,12.41,48.81,70.67477695575298,0.67
26,9,0.88,4.77,1.42,0.23,0.38,0.27,21.6,11.31,60.31,132.38100277106025,0.67
26,8,0.88,4.19,1.19,0.15,0.31,0.19,18.4,8.59,79.77,77.04065534616699,0.67
36,8,0.81,5.69,1.89,0.42,0.25,0.22,33.2,20.75,10.4,76.71876637421506,0.64
14,5,1.0,6.07,1.93,0.43,0.57,0.07,24.8,12.64,29.35,166.78656721143835,0.73
38,10,0.76,5.26,1.63,0.24,0.26,0.34,26.8,18.46,30.37,264.2083824161866,0.67
