SL,PTH,TTR,AWL,ASC,DWR,POS,VWR,GFI,FKG,FRE,PRP,COH
24,11,0.92,4.83,1.58,0.29,0.38,0.33,23.2,12.41,48.81,285.0108735380409,0.66
31,13,0.9,4.13,1.32,0.13,0.26,0.39,19.6,12.08,63.7,317.8378345479494,0.75
25,9,0.76,3.56,1.24,0.12,0.28,0.28,16.8,8.79,76.56,68.48044803355207,0.68
19,7,0.79,4.11,1.32,0.11,0.42,0.32,14.0,7.4,75.88,159.97330568127026,0.68
17,6,0.76,3.82,1.24,0.18,0.47,0.24,16.0,5.67,84.68,206.6724460566882,0.65
15,7,0.93,4.53,1.33,0.2,0.4,0.27,16.0,5.95,79.09,404.6765060479593,0.66
17,6,0.82,4.82,1.65,0.29,0.41,0.53,20.4,10.51,49.99,400.40253702373417,0.65
27,7,0.89,4.41,1.37,0.19,0.37,0.3,20.4,11.11,63.53,682.2056066771039,0.68
18,6,0.83,4.33,1.44,0.17,0.33,0.56,16.0,8.42,66.74,184.78396809750498,0.69
11,5,0.91,4.73,1.27,0.09,0.73,0.27,10.0,3.69,88.23,341.76166148329895,0.68
30,7,0.83,3.9,1.13,0.1,0.3,0.2,18.0,9.44,80.79,149.46244134010018,0.66
38,13,0.76,4.74,1.55,0.29,0.24,0.37,28.8,17.52,37.14,351.7649006460362,0.66
16,6,0.94,5.31,1.69,0.44,0.56,0.12,26.0,10.59,47.62,237.21939692720937,0.71
43,7,0.6,4.72,1.33,0.16,0.26,0.26,25.6,16.87,50.67,135.34334693730773,0.65
